actor_type,sumo_id,velocity,travelled_distance,throttle,steer,brake,acceleration,acc_x,acc_y,loc_x,loc_y,heading,time_step
vehicle.mercedes.coupe_2020,vehicle0,19.49588394165039,90.06083857282977,1.0,0.0,0.0,4.695489047973196,-3.807814121246338,-2.7473931312561035,-411.9499816894531,9.669660568237305,-179.70960998535156,0.023000000044703484
vehicle.audi.a2,vehicle1,22.512468338012695,70.56425624430977,1.0,0.0,0.0,2.746665058239138,2.7466650009155273,0.0005611572996713221,-356.6644592285156,26.902660369873047,0.004268696065992117,0.023000000044703484
vehicle.tesla.model3,vehicle2,42.56603240966797,172.56325388399137,1.0,0.0,0.0,3.541200702586873,3.5411999225616455,-0.002350415103137493,-275.51617431640625,37.38506317138672,-0.0111083984375,0.023000000044703484
vehicle.audi.etron,vehicle3,30.22916603088379,135.93296287406065,1.0,0.0,0.0,2.0619268440780485,-2.06192684173584,-9.827983740251511e-05,-431.53466796875,5.40446662902832,179.99903869628906,0.023000000044703484
vehicle.tesla.cybertruck,vehicle4,6.474613189697266,153.26966577860276,1.0,0.0,0.0,21.670907182823047,3.5208826065063477,-21.38297462463379,-463.8941955566406,16.479875564575195,-117.72968292236328,0.023000000044703484
vehicle.dodge.charger_police,vehicle5,3.201477289199829,126.31044949926856,1.0,0.0,0.0,14.982384156314893,0.18358489871025085,-14.9812593460083,-470.27337646484375,16.57105827331543,-155.02423095703125,0.023000000044703484
vehicle.ford.mustang,vehicle6,0.0,3.135775885854128,0.0,0.0,0.0,0.0,0.0,0.0,-384.4994812011719,-8.499999046325684,90.00000762939453,0.023000000044703484
vehicle.audi.tt,vehicle7,0.0,3.124692475048101,0.0,0.0,0.0,0.0,0.0,0.0,-380.6995544433594,-7.39999532699585,90.00000762939453,0.023000000044703484
vehicle.mercedes.coupe_2020,vehicle0,19.582509994506836,90.51123630357883,1.0,0.0,0.0,4.628073226905255,-3.8002676963806152,-2.641406297683716,-412.3996887207031,9.674947738647461,-179.5918731689453,0.023000000044703484
vehicle.audi.a2,vehicle1,22.575071334838867,71.08348288602025,1.0,0.0,0.0,2.720791399176733,2.7207913398742676,0.0005680662579834461,-356.14556884765625,26.90269660949707,0.004297416657209396,0.023000000044703484
vehicle.tesla.model3,vehicle2,42.647804260253906,173.54415338388372,1.0,0.0,0.0,3.5299225383085906,3.529921770095825,-0.0023288328666239977,-274.5360412597656,37.38488006591797,-0.011138916946947575,0.023000000044703484
vehicle.audi.etron,vehicle3,30.276439666748047,136.6293209877493,1.0,0.0,0.0,2.0553753400049084,-2.055375337600708,-9.941362077370286e-05,-432.2306213378906,5.404477596282959,179.9990997314453,0.023000000044703484
vehicle.tesla.cybertruck,vehicle4,5.968087673187256,153.40693179535285,1.0,0.0,0.0,22.06342837048417,3.2360916137695312,-21.82481575012207,-463.9372253417969,16.62514305114746,-115.00823211669922,0.023000000044703484
vehicle.dodge.charger_police,vehicle5,2.965578079223633,126.37865779522328,1.0,0.0,0.0,11.071405998500259,-0.2973805367946625,-11.067411422729492,-470.31201171875,16.66788101196289,-151.09555053710938,0.023000000044703484
vehicle.ford.mustang,vehicle6,0.0,3.135775885854128,0.0,0.0,0.0,0.0,0.0,0.0,-384.4994812011719,-8.499999046325684,90.00000762939453,0.023000000044703484
vehicle.audi.tt,vehicle7,0.0,3.124692475048101,0.0,0.0,0.0,0.0,0.0,0.0,-380.6995544433594,-7.39999532699585,90.00000762939453,0.023000000044703484
vehicle.mercedes.coupe_2020,vehicle0,19.66922950744629,90.96362858312938,1.0,0.0,0.0,4.540559133730756,-3.794628620147705,-2.493485689163208,-412.8513488769531,9.678936004638672,-179.4974822998047,0.023000000044703484
vehicle.audi.a2,vehicle1,22.637134552001953,71.60413698172826,1.0,0.0,0.0,2.697654293818415,2.6976542472839355,0.0005010667373426259,-355.6253967285156,26.90273666381836,0.004324048291891813,0.023000000044703484
vehicle.tesla.model3,vehicle2,42.729454040527344,174.526930828726,1.0,0.0,0.0,3.5138346401828517,3.51383376121521,-0.002485375851392746,-273.55419921875,37.38469696044922,-0.011199951171875,0.023000000044703484
vehicle.audi.etron,vehicle3,30.32356834411621,137.32676306101956,1.0,0.0,0.0,2.0490729833139905,-2.0490729808807373,-9.985903307097033e-05,-432.92767333984375,5.404488563537598,179.9990997314453,0.023000000044703484
